epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.531,4.39842,13.2188,3.31676,0.00282,0.84483,0.09415,0.02404,3.07095,10.1835,2.87505,0.000659498,0.000659498,0.000659498
2,48.3172,3.71129,10.1963,3.13002,0.22252,0.41379,0.16323,0.03375,5.28262,10.8759,3.66673,0.00126052,0.00126052,0.00126052
3,64.6832,3.8882,10.437,3.11778,0.45823,0.44828,0.4166,0.16213,3.81767,8.2697,3.08035,0.00179554,0.00179554,0.00179554
4,80.4416,3.85429,9.01073,3.08108,0.57828,0.59111,0.61501,0.23567,3.75794,7.89382,3.04692,0.001703,0.001703,0.001703
5,96.4641,3.89642,8.24375,3.06331,0.59675,0.53448,0.5383,0.17577,3.61061,5.93711,3.06661,0.001604,0.001604,0.001604
6,112.302,3.76073,7.94573,3.11747,0.68203,0.62877,0.66296,0.20159,3.69099,5.05494,3.39614,0.001505,0.001505,0.001505
7,128.466,3.64838,6.84158,2.89062,0.54076,0.67001,0.6464,0.25006,3.59293,4.78963,2.95498,0.001406,0.001406,0.001406
8,144.821,3.53511,6.73972,2.7894,0.57482,0.74596,0.71235,0.28854,3.37751,4.01563,2.75574,0.001307,0.001307,0.001307
9,160.886,3.43356,6.27635,2.90893,0.75032,0.65517,0.78482,0.3111,3.22448,3.68686,2.84872,0.001208,0.001208,0.001208
10,177.116,3.53252,5.58779,2.91285,0.65191,0.71044,0.6385,0.24331,3.21516,3.90319,2.80578,0.001109,0.001109,0.001109
11,194.45,3.47757,7.36866,2.93839,0.568,0.68013,0.67219,0.30563,3.26759,3.92348,2.92415,0.00101,0.00101,0.00101
12,210.883,3.40814,7.2663,2.94549,0.71002,0.67549,0.63945,0.29692,3.36536,3.92177,2.71367,0.000911,0.000911,0.000911
13,226.858,3.32743,7.08619,2.81946,0.61143,0.7054,0.70201,0.34537,3.14158,3.71151,2.77721,0.000812,0.000812,0.000812
14,242.868,3.23073,6.45278,2.88883,0.47742,0.65517,0.54445,0.2851,3.01206,3.6061,2.83915,0.000713,0.000713,0.000713
15,257.908,3.23238,6.24472,2.94602,0.49979,0.75862,0.55325,0.2856,2.95496,3.46614,2.93927,0.000614,0.000614,0.000614
16,273.044,3.17615,5.92587,2.9062,0.53637,0.71813,0.63315,0.29594,3.04025,3.34738,2.96379,0.000515,0.000515,0.000515
17,288.276,3.15698,5.81845,2.83784,0.61615,0.68966,0.74254,0.32556,3.01376,3.2882,2.82131,0.000416,0.000416,0.000416
18,304.147,3.17645,5.65874,2.79459,0.61289,0.62069,0.69586,0.31666,2.99222,3.22613,2.73062,0.000317,0.000317,0.000317
19,319.861,3.06662,5.54108,2.75514,0.67518,0.60934,0.75611,0.33319,2.92988,3.19786,2.74017,0.000218,0.000218,0.000218
20,336.015,2.99362,5.36592,2.75935,0.67964,0.65845,0.75558,0.33331,2.96704,3.25252,2.74755,0.000119,0.000119,0.000119
